osmId,typeOfBuilding,geometry,lat,long,name,operator,brand,openingHours
4545686165,post_office,0101000020E6100000A851ED7838662340671426E71FBD4A40,53.4775361,9.6996496,Hermes,unknown,unknown,2016-12-08
4546864328,post_office,0101000020E6100000943E631525472140331F6BA1BF834A40,53.0292856,8.6389548,Hermes PaketShop,Hermes Logistik Gruppe Deutschland,Hermes,2016-12-09
4567140383,post_office,0101000020E61000005C8AF557D9702440B5684B67711F4A40,52.2456483,10.2204082,Post,unknown,unknown,unknown
4579198199,post_office,0101000020E61000005C3FFD67CD932340C091E5C9DA134A40,52.1551144,9.7886765,unknown,unknown,unknown,Mo-Fr 08:00-18:00; Sa 08:00-13:00
4580109924,post_office,0101000020E61000008E88731E5FCC2440A5B04115ED284A40,52.3197352,10.3991632,Postfiliale bei Küchenthal,Küchenthal,unknown,unknown
4586433664,post_office,0101000020E610000070BF322548B32340AC67525447484A40,52.5646768,9.8501598,Deutsche Post,unknown,unknown,unknown
4612086265,post_office,0101000020E61000008F37F92D3AB52340DC341191F51D4A40,52.2340566,9.8539595,Postfiliale,unknown,unknown,Mo-Fr 08:00-18:00; Sa 08:30-13:00
4624092389,warehouse,0101000020E610000020F939F4CC392040D5FF8359B2214A40,52.2632553,8.1128918,Koch International,unknown,unknown,unknown
4665768347,post_office,0101000020E6100000C127316365B32340D7BE25A545374A40,52.4318129,9.8503829,unknown,unknown,unknown,unknown
4674448539,post_office,0101000020E61000003BC20E08191D2540B1FAC852907B4A40,52.9653419,10.5568316,Postbank Uelzen,Deutsche Post AG,unknown,unknown
4694686300,post_office,0101000020E6100000E8D8E66B3B8622409381F22D62FD4940,51.9795587,9.2621721,DHL Paketshop,unknown,unknown,unknown
4694707973,post_office,0101000020E6100000BA933E63157D2240BBC9B95EE4FD4940,51.9835318,9.2443038,Hermes Paketshop,unknown,unknown,unknown
4695546324,post_office,0101000020E6100000DFED30DC6F9F2140D2048A58C4894A40,53.0763045,8.8114003,ETC Mail Boxes,unknown,unknown,unknown
4701024874,post_office,0101000020E6100000BFE5FBF37ED124408EF3925A83344A40,52.4102586,10.4091717,Schreibwaren + Post,unknown,unknown,unknown
4725470592,post_office,0101000020E61000009C49E53796F925402C103D2993374A40,52.4341785,10.9874742,DHL-Paketshop,unknown,unknown,unknown
4754439125,post_office,0101000020E610000044EF9E4D58F82440F2C5CD5FD7174A40,52.1862602,10.4850487,Post- und Ticketforum,unknown,unknown,unknown
4808165015,post_office,0101000020E61000009C4E571C7347234097FD5F1A2BD44940,51.6575654,9.6395501,DPD Paketshop,unknown,unknown,unknown
4808165017,post_office,0101000020E6100000784BCD79214C2340A7C75B53C5D34940,51.6544594,9.6486929,DHL Paketshop,Kiosk Allershausen,unknown,Mo-Fr 06:00-23:00; Sa 07:00-23:00; Su 08:00-23:00
4848954427,post_office,0101000020E610000047BE5CD5A37A2040E0B595A828934A40,53.1496783,8.2395312,unknown,unknown,unknown,Mo-Sa 09:30-12:30
4858987429,post_office,0101000020E61000008C118942CB42234071DC73AAC6404A40,52.5060628,9.630457,Hermes Annahmestelle,Frischmarkt Pagel,unknown,Mo-Sa 07:00-19:00
4867867364,post_office,0101000020E610000083B4B574BB0D254074E89903A9244A40,52.2864079,10.5268208,Hermes PaketShop,unknown,Hermes,Hermes website
4870067066,post_office,0101000020E61000004F9BCCD3147C234096A3B6C315D54940,51.6647267,9.7423464,Deutsche Post,unknown,unknown,unknown
4903634506,post_office,0101000020E61000004C299E697885224075F0A72105FE4940,51.9845316,9.2606843,unknown,DPD,unknown,Mo-Fr 09:00-18:00; Sa 10:00-13:00; PH off
4903706801,post_office,0101000020E6100000B32781CD39942040173147EA985D4A40,52.7312291,8.2895035,DPD PickUp,DPD Dynamic Parcel Distribution,unknown,unknown
4930714086,post_office,0101000020E610000031B19EFFC35E2340C55CAD6E50324A40,52.3930796,9.6850891,Polat An- und Verkauf,unknown,unknown,Mo-Fr 09:00-20:00
4939388660,post_office,0101000020E61000000037305E980D2040434AA24DC47A4A40,52.9591157,8.0265531,Deutsche Post Filiale,unknown,unknown,unknown
4939388661,post_office,0101000020E6100000724B5068FE0920401381EA1F447A4A40,52.955204,8.0195191,unknown,unknown,unknown,unknown
4939388663,post_office,0101000020E6100000A2197A7A5B13204075A84B6B78794A40,52.9489874,8.0378073,Hermes PaketShop,unknown,unknown,unknown
