osm_id,street_type,max_speed,start_time,end_time,number_of_records,number_of_drivers,average_speed,season,daylight,is_weekend,day_type,geometry
558274771,primary,,2017-12-23 22:00:00,2017-12-23 22:30:00,0,0,,winter,DARK,true,Sat,0102000020110F00000A0000006B695D4A53F52F41A9C6CA9C210D5B41DA1448F925F62F41B6C1FCC13D0D5B418A4BDCC42DF82F411D646AD1830D5B41E1A32F3648FB2F4186C706F8EE0D5B41E373C5929EFB2F4193B8B3FFFA0D5B41614669EF70FD2F41E40BFA7D370E5B41A6C24F7ED6FE2F41A59E7138600E5B418DD66E14E1003041B9711EEEAC0E5B415409CADFEF003041A34D4DD0AF0E5B410595F1C1FE00304158D27CB8B20E5B41
295742846,motorway,100,2017-11-13 18:00:00,2017-11-13 18:30:00,19,11,77.94736842105264,autumn,Dark,false,Mon,0102000020110F0000100000000813DD9EE1793041022175093487594161692FA1337A304111A0276442875941E4DD0735AA7A3041E3946C3A5B8759412314373C127B3041B4D2E42974875941BA3B62535A7B304124519AE08587594120224653A17B3041C87E012C978759415B6E10BCDB7B30412C068408A38759412E65FA77177C30418FE0AED0AD87594107F77B7C447C304177D006D5B4875941BEE4CCFAF87C30417E52A919D287594136BE1F0B1B7D30418602806FD7875941864D3F29427D3041265BA958DD875941262F8F2E537D304165A66C1AE08759414936EA719E7D3041C6D98283EC875941AFEC63CE3B7E3041D8C7D2E504885941F44FD022817E3041BF8B791910885941
379745598,motorway,none,2017-08-17 23:30:00,2017-08-18 00:00:00,9,4,87.8888888888889,summer,Dark,false,Thu,0102000020110F000006000000C79D4F3C318D2B410D2C7363C8565A41C47A0554868D2B41A8AF61C059565A410CBA14DA568E2B41678BDE7683555A417C711E23FB8E2B4123628C04E9545A41E392D7E97C8F2B418FF5521771545A412AB8CA83898F2B4127176B7264545A41
60209776,primary,40,2017-09-03 17:30:00,2017-09-03 18:00:00,2,1,40.0,autumn,Daylight,true,Sun,0102000020110F000019000000D303F0A5115E30419B8304C5C1FA5A41A853C40F015E3041DC114B04C7FA5A417905E69FCF5D30415855A631D2FA5A41DB39A899C25D3041DCB63CE9D4FA5A414EE0873AA85D30412D132D69DAFA5A414A2705FE825D30414DF7A663E2FA5A41E493AB964B5D3041BF1760ACECFA5A411AB463C61A5D30411CA682DEF1FA5A412E51A44AE85C304102AAAFA4F5FA5A419753FA5ED75C304148C20175F6FA5A417132D0D9B45C3041CD7A071EF8FA5A41F12D6CB1545C304111A45209FCFA5A4199FB64B8DA5B3041A4869EF900FB5A41135F84D8B85B30417614424502FB5A41C1D4221E925B3041E404BFD203FB5A413F04BCE8695B304102019A6E05FB5A41DE749661375B3041AAD9D07307FB5A41F73CFAC2DF5A304161AB8FF40AFB5A41287DC91B825A3041352C11360FFB5A41CD07EA73585A30418622956711FB5A41EBFAE74F0D5A3041940864D515FB5A41F9AC2184095A3041DA84D81416FB5A416B0AF353E059304124FFCBE618FB5A415428EAA3A5593041646B72EC1CFB5A41580C192074593041EBB0775020FB5A41
270398472,motorway,none,2017-08-23 01:00:00,2017-08-23 01:30:00,28,15,85.71428571428571,summer,Dark,false,Wed,0102000020110F000005000000F6949722E6193241679D921396275A41CF8E4EF2D21B3241950C1A1491275A416FB9570FD71F3241F337612683275A413B76077ADE213241EAEB19077D275A417B09121B80253241BB301E0E70275A41
331851089,motorway,none,2017-10-22 00:00:00,2017-10-22 00:30:00,28,2,104.82142857142861,autumn,Dark,true,Sun,0102000020110F00003900000079C1B640F4393041B81348E702895A414697359F373930414DF954E12A895A41AA40DDBD5438304164784A0C5C895A415887782CD83630418038399CAF895A4172553CA324363041FAACFA5AD7895A4116DAAF3B6A353041308B46DAFF895A412579A557A53430412FAF3F692A8A5A416D7542DAEC3330415F4B1EE4508A5A4171056FFF4C33304128DC81FA718A5A4152915B7291323041773A5E3F978A5A4127C0B2B9EB313041E63D0AA5B78A5A41AE47ACAE7B31304152F1CA1CCD8A5A41EAAEF9CFCD3030419C7FD990ED8A5A41BD160C6E6030304104574262018B5A4196E3158FDB2F3041EE7998D4198B5A411E2D1F2C012F3041B594A943408B5A41808972D46D2E30416B86C85D598B5A4106848428122E30419B646103698B5A41F41A6B8AC12D304105260C76768B5A4138F34566FF2C30411A32A511968B5A41A586405EAD2C304131EEC531A38B5A4185E78091482C30412B8A6E18B38B5A415576822CB12B304136897C86CA8B5A41D0636E5C4B2B30417A582E04DA8B5A415E3D6866EF2A3041804090CFE78B5A4141F1A9CFCB2A30419DD03A2CED8B5A41D02B677C532A30410D1B7491FE8B5A4157790369072A304150E6927D098C5A4181FC9242B129304105AC07EE158C5A41D0A278D61C293041C65E99BB2A8C5A410E18FF0143283041561E90ED488C5A4103890FB6F1273041DBB636F0538C5A4178AA0A9E6027304143EB6DF0668C5A417118775E112730416CBADE05718C5A4157D5336EC1263041AD5167DA7A8C5A410D1A91E208263041A101786C928C5A415BD6887578253041FB12A7F6A38C5A41E0D3B55A4C25304119FDBD41A98C5A41FD893B9DF52430410475ED8FB38C5A4169B9576190243041B1AC06AEBF8C5A418A3307BCD1233041C4EA607DD58C5A4104D5C9892D233041DB66B7ECE78C5A41772F80C8D422304140CE0DB2F18C5A4145C65A586D223041C6F38E14FD8C5A417BECFBFFAE213041EA863342118D5A419FCCA3FE05213041D613D2E7228D5A417B3546899F20304199A917772D8D5A41141BEEF8EE1F304183671B393F8D5A41F970B1435C1F3041B9A445124E8D5A41A6C4A7522E1F3041D3DF2E7D528D5A419DC6E54C6A1E304133B56473658D5A4187621375E81D30418A6C0644728D5A41FA2376CEE51C3041477BA91C8B8D5A4146729CC80F1C30413AECFD1E9F8D5A4161E817434C1B3041F44CF5A9B18D5A41BB9790AB331A30414575CC81CB8D5A410DA92C47B5193041B63CDF4ED78D5A41
121964172,motorway,none,2017-12-16 05:00:00,2017-12-16 05:30:00,14,6,84.64285714285714,winter,Dark,true,Sat,0102000020110F0000120000009101FEFC4CAE2F41C2DA0451C1CB5A417E357EE947AE2F413B9EB886C0CB5A419A5ECFE018AD2F413D8A1CF890CB5A41174685EE53AC2F41BECDE97C6FCB5A41A49B9B60AEAB2F4114CD0EE953CB5A417B87BB89CFAA2F419F3E72202DCB5A4150FAEBA006AA2F410A737F9B08CB5A410CA161BFE8A72F41BA8EFE35A2CA5A41F7EA2F63C9A62F41DFBB5EA36BCA5A41A546295A10A62F41670D311847CA5A41F6ED3902EEA42F414B7C78C50FCA5A418DD269B3DEA32F41FF073218E0C95A419FD53D032DA32F41C71CD996C2C95A419A667D0E57A22F4120C0C6CB9FC95A415559693964A12F4187C0BF2E7AC95A4124B711D592A02F41A819EFA05BC95A412DC02D0CDD9F2F4131D4021842C95A41F4A92D5CF09E2F410E5B046621C95A41
37055351,trunk,100,2017-08-12 18:00:00,2017-08-12 18:30:00,2,1,100.5,summer,Daylight,true,Sat,0102000020110F0000100000004C44DE8B36122D41DB3B9EC221F25A4175B4B2AFED102D417225BCD615F25A416037B34738102D4108CA40B910F25A41C8633DDD710F2D41AC39D81C0DF25A41B8D4E8B88B0E2D41D42FC12D0BF25A41B8436EC8110E2D41193528F30AF25A410C526670950D2D4129C64F000BF25A412611791EAF0C2D41B98954560CF25A414FA342235A0C2D41A5A6EA410DF25A41C2098F99040C2D4143A99DBA0EF25A41F70A6D790F0B2D41202E652F14F25A413190A58E950A2D4130D2573017F25A4188C0456D200A2D41B108BF7D1BF25A414EF57FC3E1082D415D6408C828F25A410B292A2D9C072D41B12B013039F25A413D3484D4A7062D416BF6F3EB46F25A41
333293282,motorway,none,2017-12-25 05:00:00,2017-12-25 05:30:00,1,1,123.0,winter,Dark,false,Mon,0102000020110F000005000000BC8B49CE4EA3304164360D5C85525A41ECA845DC77A33041F1C072E167525A4124F8B338B0A330418DCC3D953F525A4197C67132FCA330410FF053490B525A41F319204150A430413AF0E7E9D2515A41
34894613,motorway,signals,2017-11-11 20:30:00,2017-11-11 21:00:00,6,4,117.33333333333333,autumn,Dark,true,Sat,0102000020110F000009000000EE77AFA50BF62E415EC7C156C6175A41E46A4DC91FF72E41AB70AD12BB175A416F6F8D6746F82E412DB06FA4B1175A4153931949F4F82E41579022C2AD175A412955529BB7F92E41658C3D00AB175A4143FCC06907FB2E4160522913A9175A41F563618A5CFC2E41DA4B1864AC175A4117CEF84F17FD2E41B2488D46AF175A41CACF415DCDFD2E419A7A6DADB3175A41
