ID	Name	Venue	Category	Start Time	No Participants	Reoccurring	Most Popular Entity	Entity Popularity	Additional Information
103	Beethoven: 9. Sinfonie	Kuppelsaal im HCC	concert	2017-12-27 20:00:00.000000		false	Beethoven: 9. Sinfonie	2920000	
105	Chris Rea	Kuppelsaal im HCC	concert	2017-10-28 20:00:00.000000	2500	false	Chris Rea	30400000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Konzertkritik-zu-Chris-Rea-im-Kuppelsaal
111	Julia Engelmann: Jetzt, Baby – Poesie und Musik	Kuppelsaal im HCC	concert	2017-11-24 20:00:00.000000		false	Julia Engelmann		http://www.hcc.de/de/events-details/event,85fc37b18c57097425b52fc7afbb6969
112	Klaus Maria Brandauer und das NDR Elbphilharmonie Orchester	Kuppelsaal im HCC	concert	2017-10-25 20:00:00.000000		false	Klaus Maria Brandauer		https://www.hcc.de/en/events-details/event,f770b62bc8f42a0b66751fe636fc6eb0
113	Max Raabe & Palastorchester	Kuppelsaal im HCC	concert	2017-11-11 18:00:00.000000		false	Max Raabe		https://stadtleben.de/hannover/kalender/2017/11/11/max-raabe-und-palast-orchester-das-hat-mir-noch-gefehlt/
114	Max Raabe & Palastorchester	Kuppelsaal im HCC	concert	2017-12-11 18:00:00.000000		false	Max Raabe		https://was-wann-wo.de/event/hh7ujwni
115	Michael Jackson – The Symphony Experience	Kuppelsaal im HCC	concert	2017-10-29 20:00:00.000000		false	Michael Jackson (aber nicht wirklich korrect, daher potentiell misleading)		http://www.hcc.de/de/events-details/event,d7a728a67d909e714c0774e22cb806f2
118	St. Petersburger Philharmoniker	Kuppelsaal im HCC	concert	2017-12-05 19:30:00.000000		false	St. Petersburger Philharmoniker	173000	
119	Status Quo: Aqoustic Live – It Rocks!	Kuppelsaal im HCC	concert	2017-11-22 20:00:00.000000	1200	false	Status Quo	51800000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Status-Quo-mit-Akustik-Show-im-Kuppelsaal-Hannover
120	The Voice of Germany	Kuppelsaal im HCC	show	2018-11-01 20:00:00.000000	2200	false	The Voice of Germany	35900000	http://www.haz.de/Hannover/Aus-der-Stadt/Uebersicht/Castingstars-von-The-Voice-of-Germany-geben-im-Kuppelsaal-ein-Live-Konzert
121	Till Brönner	Kuppelsaal im HCC	concert	2017-12-17 20:00:00.000000	1500	false	Till Brönner	1580000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Till-Broenner-spielt-in-Hannover
127	AGRI TECHNICA	Messegelände	fair	2017-11-16 09:00:00.000000	65000	true	AGRITECHNICA 2017	531000	https://www.agrarheute.com/technik/wichtigsten-fakten-agritechnica-2017-539319
128	AGRI TECHNICA	Messegelände	fair	2017-11-17 09:00:00.000000	65000	true	AGRITECHNICA 2017	531000	https://www.agrarheute.com/technik/wichtigsten-fakten-agritechnica-2017-539319
129	AGRI TECHNICA	Messegelände	fair	2017-11-18 09:00:00.000000	65000	true	AGRITECHNICA 2017	531000	https://www.agrarheute.com/technik/wichtigsten-fakten-agritechnica-2017-539319
134	Domotex	Messegelände	fair	2018-12-01 09:00:00.000000	10000	true	Domotex 2017	55700	https://www.instaff.jobs/messen/2017/hannover/domotex/9702
135	Domotex	Messegelände	fair	2018-01-13 09:00:00.000000	10000	true	Domotex 2017	55700	https://www.instaff.jobs/messen/2017/hannover/domotex/9702
136	Domotex	Messegelände	fair	2018-01-14 09:00:00.000000	10000	true	Domotex 2017	55700	https://www.instaff.jobs/messen/2017/hannover/domotex/9702
137	Domotex	Messegelände	fair	2018-01-15 09:00:00.000000	10000	true	Domotex 2017	55700	https://www.instaff.jobs/messen/2017/hannover/domotex/9702
146	Hund und Co.	Messegelände	fair	2017-11-06 09:00:00.000000	9000	true	HUND & Co. 2017	357	https://www.nutricanis.de/messe-veranstaltung-hund-und-co-hannover/
148	Ideen Expo	Messegelände	fair	2017-11-06 09:00:00.000000	40000	true	IdeenExpo 2017	98100	https://ideenexpo.de/news/ideenexpo-2017-endet-mit-rekord-%C3%BCber-360000-besucher-neun-tagen
149	Ideen Expo	Messegelände	fair	2017-12-06 09:00:00.000000	40000	true	IdeenExpo 2017	98100	https://ideenexpo.de/news/ideenexpo-2017-endet-mit-rekord-%C3%BCber-360000-besucher-neun-tagen
156	infa	Messegelände	fair	2017-10-14 10:00:00.000000	187000	true	infa 2017	16500	https://web.archive.org/web/20171001004203/http://www.meine-infa.de:80/infa_zeiten_und_preise_de http://www.meine-infa.de/infa_daten_factsheet_en
165	MiMaMo	Messegelände	show	2017-10-12 15:00:00.000000		true	MiMaMo	391000	https://schoene-heide.de/vorverkaufsstart-mimamo-hannover-kinderpferdeshow/
169	Pferd & Jagd	Messegelände	fair	2017-10-12 10:00:00.000000	25600	true	Pferd & Jagd 2017	23000	http://www.heckmanngmbh.de/presse_pj_de
170	STRICK! Hannover	Messegelände	fair	2017-10-15 10:00:00.000000		true	STRICK! Hannover 2017	1620	http://www.geniesserinnen.de/index.php?an-die-nadeln-fertig-los-strick-hannover-2017
171	STRICK! Hannover	Messegelände	fair	2017-10-16 10:00:00.000000		true	STRICK! Hannover 2017	1620	http://www.geniesserinnen.de/index.php?an-die-nadeln-fertig-los-strick-hannover-2017
2	$ick: Shore Stein Papier – Alles andere als eine Lesung	Capitol	comedy	2017-10-29 20:00:00.000000		false	$ick shore stein papier	357000	https://chimperator-live.de/artists/123-shore-stein-papier
3	Antilopen Gang	Capitol	concert	2018-01-18 20:00:00.000000		false	Antilopen Gang	352000	http://www.haz.de/Nachrichten/Kultur/Antilopen-Gang-in-Hannover-So-war-das-Konzert-im-Capitol
6	Beatsteaks	Capitol	concert	2017-11-01 20:00:00.000000	1600	false	Beatsteaks	1090000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Konzert-in-Hannover-Beatsteaks-verwandeln-Capitol-in-Huepfburg
9	Dirkschneider	Capitol	concert	2017-12-06 20:00:00.000000	700	false	Udo Dirkschneider	340000	http://www.neuepresse.de/Nachrichten/Kultur/Retrorock-mit-Udo-Dirkschneider
10	Faber	Capitol	concert	2017-10-13 20:00:00.000000	12000	false	Faber	71100000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Faber-zeigt-brachiale-Leidenschaft
11	Fischer-Z	Capitol	concert	2017-10-30 20:00:00.000000		false	Fischer-Z	3050000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/So-war-das-Konzert-von-Fischer-Z-im-Capitol
28	Forever Young	Capitol	party	2017-10-14 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
29	Forever Young	Capitol	party	2017-10-21 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
