name,start_time,end_time
Winterferien,2014-01-30,2014-02-01
Osterferien,2014-05-02,2014-05-03
Pfingstferien,2014-06-10,2014-06-11
Sommerferien,2014-07-31,2014-09-11
Herbstferien,2014-10-27,2014-11-09
Weihnachtsferien,2014-12-22,2015-01-06
Winterferien,2015-02-02,2015-02-04
Osterferien,2015-03-25,2015-04-11
Pfingstferien,2015-05-26,2015-05-27
Sommerferien,2015-07-23,2015-09-03
Herbstferien,2015-10-19,2015-11-01
Weihnachtsferien,2015-12-23,2016-01-07
Winterferien,2016-01-28,2016-01-30
Osterferien,2016-03-18,2016-04-03
Pfingstferien,2016-05-17,2016-05-18
Sommerferien,2016-06-23,2016-08-04
Herbstferien,2016-10-04,2016-10-16
Weihnachtsferien,2016-12-21,2017-01-07
Winterferien,2017-01-30,2017-02-01
Osterferien,2017-04-10,2017-04-23
Pfingstferien,2017-05-26,2017-05-27
Pfingstferien,2017-06-06,2017-06-07
Sommerferien,2017-06-22,2017-08-03
Herbstferien,2017-10-02,2017-10-14
Herbstferien,2017-10-30,2017-10-31
Weihnachtsferien,2017-12-22,2018-01-06
Herbstferien,2018-10-01,2018-10-13
Weihnachtsferien,2018-12-24,2019-01-05
Sommerferien,2018-06-28,2018-08-09
Osterferien,2018-03-19,2018-04-04
Pfingstferien,2018-04-30,2018-05-01
Pfingstferien,2018-05-11,2018-05-12
Pfingstferien,2018-05-22,2018-05-23
Winterferien,2018-02-01,2018-02-03
Winterferien,2019-01-31,2019-02-02
Osterferien,2019-04-08,2019-04-24
Pfingstferien,2019-05-31,2019-06-01
Pfingstferien,2019-06-11,2019-06-12
Sommerferien,2019-07-04,2019-08-15
Herbstferien,2019-10-04,2019-10-19
Weihnachtsferien,2019-12-23,2020-01-07
Winterferien,2020-02-03,2020-02-05
Osterferien,2020-03-30,2020-04-15
Pfingstferien,2020-05-22,2020-05-23
Pfingstferien,2020-06-02,2020-06-03
Sommerferien,2020-07-16,2020-08-27
Herbstferien,2020-10-12,2020-10-24
Weihnachtsferien,2020-12-23,2021-01-09
Osterferien,2021-03-29,2021-04-10
Pfingstferien,2021-05-14,2021-05-15
Pfingstferien,2021-05-25,2021-05-26
Sommerferien,2021-07-22,2021-09-02
Herbstferien,2021-10-18,2021-10-30
Weihnachtsferien,2021-12-23,2022-01-08
Winterferien,2021-02-01,2021-02-03
Winterferien,2022-01-31,2022-02-02
Osterferien,2022-04-04,2022-04-20
Pfingstferien,2022-05-27,2022-05-28
Pfingstferien,2022-06-07,2022-06-08
Sommerferien,2022-07-14,2022-08-25
Herbstferien,2022-10-17,2022-10-29
Weihnachtsferien,2022-12-23,2023-01-07
Winterferien,2023-01-30,2023-02-01
Osterferien,2023-03-27,2023-04-12
Pfingstferien,2023-05-19,2023-05-20
Pfingstferien,2023-05-30,2023-05-31
Sommerferien,2023-07-06,2023-08-17
Herbstferien,2023-10-02,2023-10-03
Herbstferien,2023-10-16,2023-10-31
Weihnachtsferien,2023-12-27,2024-01-06
