name,start_time,end_time
Neujahr,2014-01-01,2014-01-02
Heilige Drei Könige,2014-01-06,2014-01-07
Karfreitag,2014-04-18,2014-04-19
Ostersonntag,2014-04-20,2014-04-21
Ostermontag,2014-04-21,2014-04-22
Tag der Arbeit,2014-05-01,2014-05-02
Christi Himmelfahrt,2014-05-29,2014-05-30
Pfingstsonntag,2014-06-08,2014-06-09
Pfingstmontag,2014-06-09,2014-06-10
Fronleichnam,2014-06-19,2014-06-20
Mariä Himmelfahrt,2014-08-15,2014-08-16
Tag der Deutschen Einheit,2014-10-03,2014-10-04
Reformationstag,2014-10-31,2014-11-01
Allerheiligen,2014-11-01,2014-11-02
Buß- und Bettag,2014-11-19,2014-11-20
1. Weihnachtstag,2014-12-25,2014-12-26
2. Weihnachtstag,2014-12-26,2014-12-27
Neujahr,2015-01-01,2015-01-02
Heilige Drei Könige,2015-01-06,2015-01-07
Karfreitag,2015-04-03,2015-04-04
Ostersonntag,2015-04-05,2015-04-06
Ostermontag,2015-04-06,2015-04-07
Tag der Arbeit,2015-05-01,2015-05-02
Christi Himmelfahrt,2015-05-14,2015-05-15
Pfingstsonntag,2015-05-24,2015-05-25
Pfingstmontag,2015-05-25,2015-05-26
Fronleichnam,2015-06-04,2015-06-05
Mariä Himmelfahrt,2015-08-15,2015-08-16
Tag der Deutschen Einheit,2015-10-03,2015-10-04
Reformationstag,2015-10-31,2015-11-01
Allerheiligen,2015-11-01,2015-11-02
Buß- und Bettag,2015-11-18,2015-11-19
1. Weihnachtstag,2015-12-25,2015-12-26
2. Weihnachtstag,2015-12-26,2015-12-27
Neujahr,2016-01-01,2016-01-02
Heilige Drei Könige,2016-01-06,2016-01-07
Karfreitag,2016-03-25,2016-03-26
Ostersonntag,2016-03-27,2016-03-28
Ostermontag,2016-03-28,2016-03-29
Tag der Arbeit,2016-05-01,2016-05-02
Christi Himmelfahrt,2016-05-05,2016-05-06
Pfingstsonntag,2016-05-15,2016-05-16
Pfingstmontag,2016-05-16,2016-05-17
Fronleichnam,2016-05-26,2016-05-27
Mariä Himmelfahrt,2016-08-15,2016-08-16
Tag der Deutschen Einheit,2016-10-03,2016-10-04
Allerheiligen,2016-11-01,2016-11-02
Buß- und Bettag,2016-11-16,2016-11-17
1. Weihnachtstag,2016-12-25,2016-12-26
2. Weihnachtstag,2016-12-26,2016-12-27
Neujahr,2017-01-01,2017-01-02
Heilige Drei Könige,2017-01-06,2017-01-07
Karfreitag,2017-04-14,2017-04-15
Ostersonntag,2017-04-16,2017-04-17
Ostermontag,2017-04-17,2017-04-18
Tag der Arbeit,2017-05-01,2017-05-02
Christi Himmelfahrt,2017-05-25,2017-05-26
Pfingstsonntag,2017-06-04,2017-06-05
Pfingstmontag,2017-06-05,2017-06-06
Fronleichnam,2017-06-15,2017-06-16
Mariä Himmelfahrt,2017-08-15,2017-08-16
Tag der Deutschen Einheit,2017-10-03,2017-10-04
Reformationstag,2017-10-31,2017-11-01
Allerheiligen,2017-11-01,2017-11-02
Buß- und Bettag,2017-11-22,2017-11-23
1. Weihnachtstag,2017-12-25,2017-12-26
2. Weihnachtstag,2017-12-26,2017-12-27
Neujahr,2018-01-01,2018-01-02
Heilige Drei Könige,2018-01-06,2018-01-07
Karfreitag,2018-03-30,2018-03-31
Ostersonntag,2018-04-01,2018-04-02
Ostermontag,2018-04-02,2018-04-03
Tag der Arbeit,2018-05-01,2018-05-02
Christi Himmelfahrt,2018-05-10,2018-05-11
Pfingstsonntag,2018-05-20,2018-05-21
Pfingstmontag,2018-05-21,2018-05-22
Fronleichnam,2018-05-31,2018-06-01
Augsburger Friedensfest,2018-08-08,2018-08-09
Mariä Himmelfahrt,2018-08-15,2018-08-16
Tag der Deutschen Einheit,2018-10-03,2018-10-04
Reformationstag,2018-10-31,2018-11-01
Allerheiligen,2018-11-01,2018-11-02
Buß- und Bettag,2018-11-21,2018-11-22
1. Weihnachtstag,2018-12-25,2018-12-26
2. Weihnachtstag,2018-12-26,2018-12-27
Neujahr,2019-01-01,2019-01-02
Heilige Drei Könige,2019-01-06,2019-01-07
Internationaler Frauentag,2019-03-08,2019-03-09
Karfreitag,2019-04-19,2019-04-20
Ostersonntag,2019-04-21,2019-04-22
Ostermontag,2019-04-22,2019-04-23
Tag der Arbeit,2019-05-01,2019-05-02
Christi Himmelfahrt,2019-05-30,2019-05-31
Pfingstsonntag,2019-06-09,2019-06-10
Pfingstmontag,2019-06-10,2019-06-11
Fronleichnam,2019-06-20,2019-06-21
Augsburger Friedensfest,2019-08-08,2019-08-09
Mariä Himmelfahrt,2019-08-15,2019-08-16
Weltkindertag,2019-09-20,2019-09-21
Tag der Deutschen Einheit,2019-10-03,2019-10-04
Reformationstag,2019-10-31,2019-11-01
Allerheiligen,2019-11-01,2019-11-02
Buß- und Bettag,2019-11-20,2019-11-21
1. Weihnachtstag,2019-12-25,2019-12-26
2. Weihnachtstag,2019-12-26,2019-12-27
Neujahr,2020-01-01,2020-01-02
Heilige Drei Könige,2020-01-06,2020-01-07
Internationaler Frauentag,2020-03-08,2020-03-09
Karfreitag,2020-04-10,2020-04-11
Ostersonntag,2020-04-12,2020-04-13
Ostermontag,2020-04-13,2020-04-14
Tag der Arbeit,2020-05-01,2020-05-02
Tag der Befreiung,2020-05-08,2020-05-09
Christi Himmelfahrt,2020-05-21,2020-05-22
Pfingstsonntag,2020-05-31,2020-06-01
Pfingstmontag,2020-06-01,2020-06-02
Fronleichnam,2020-06-11,2020-06-12
Augsburger Friedensfest,2020-08-08,2020-08-09
Mariä Himmelfahrt,2020-08-15,2020-08-16
Weltkindertag,2020-09-20,2020-09-21
Tag der Deutschen Einheit,2020-10-03,2020-10-04
Reformationstag,2020-10-31,2020-11-01
Allerheiligen,2020-11-01,2020-11-02
Buß- und Bettag,2020-11-18,2020-11-19
1. Weihnachtstag,2020-12-25,2020-12-26
2. Weihnachtstag,2020-12-26,2020-12-27
Neujahr,2021-01-01,2021-01-02
Heilige Drei Könige,2021-01-06,2021-01-07
Internationaler Frauentag,2021-03-08,2021-03-09
Karfreitag,2021-04-02,2021-04-03
Ostersonntag,2021-04-04,2021-04-05
Ostermontag,2021-04-05,2021-04-06
Tag der Arbeit,2021-05-01,2021-05-02
Christi Himmelfahrt,2021-05-13,2021-05-14
Pfingstsonntag,2021-05-23,2021-05-24
Pfingstmontag,2021-05-24,2021-05-25
Fronleichnam,2021-06-03,2021-06-04
Augsburger Friedensfest,2021-08-08,2021-08-09
Mariä Himmelfahrt,2021-08-15,2021-08-16
Weltkindertag,2021-09-20,2021-09-21
Tag der Deutschen Einheit,2021-10-03,2021-10-04
Reformationstag,2021-10-31,2021-11-01
Allerheiligen,2021-11-01,2021-11-02
Buß- und Bettag,2021-11-17,2021-11-18
1. Weihnachtstag,2021-12-25,2021-12-26
2. Weihnachtstag,2021-12-26,2021-12-27
Neujahr,2022-01-01,2022-01-02
Heilige Drei Könige,2022-01-06,2022-01-07
Internationaler Frauentag,2022-03-08,2022-03-09
Karfreitag,2022-04-15,2022-04-16
Ostersonntag,2022-04-17,2022-04-18
Ostermontag,2022-04-18,2022-04-19
Tag der Arbeit,2022-05-01,2022-05-02
Christi Himmelfahrt,2022-05-26,2022-05-27
Pfingstsonntag,2022-06-05,2022-06-06
Pfingstmontag,2022-06-06,2022-06-07
Fronleichnam,2022-06-16,2022-06-17
Augsburger Friedensfest,2022-08-08,2022-08-09
Mariä Himmelfahrt,2022-08-15,2022-08-16
Weltkindertag,2022-09-20,2022-09-21
Tag der Deutschen Einheit,2022-10-03,2022-10-04
Reformationstag,2022-10-31,2022-11-01
Allerheiligen,2022-11-01,2022-11-02
Buß- und Bettag,2022-11-16,2022-11-17
1. Weihnachtstag,2022-12-25,2022-12-26
2. Weihnachtstag,2022-12-26,2022-12-27
Neujahr,2023-01-01,2023-01-02
Heilige Drei Könige,2023-01-06,2023-01-07
Internationaler Frauentag,2023-03-08,2023-03-09
Karfreitag,2023-04-07,2023-04-08
Ostersonntag,2023-04-09,2023-04-10
Ostermontag,2023-04-10,2023-04-11
Tag der Arbeit,2023-05-01,2023-05-02
Christi Himmelfahrt,2023-05-18,2023-05-19
Pfingstsonntag,2023-05-28,2023-05-29
Pfingstmontag,2023-05-29,2023-05-30
Fronleichnam,2023-06-08,2023-06-09
Augsburger Friedensfest,2023-08-08,2023-08-09
Mariä Himmelfahrt,2023-08-15,2023-08-16
Weltkindertag,2023-09-20,2023-09-21
Tag der Deutschen Einheit,2023-10-03,2023-10-04
Reformationstag,2023-10-31,2023-11-01
Allerheiligen,2023-11-01,2023-11-02
Buß- und Bettag,2023-11-22,2023-11-23
1. Weihnachtstag,2023-12-25,2023-12-26
2. Weihnachtstag,2023-12-26,2023-12-27
