name,start_time,end_time
Neujahr,2014-01-01,2014-01-02
Karfreitag,2014-04-18,2014-04-19
Ostermontag,2014-04-21,2014-04-22
Tag der Arbeit,2014-05-01,2014-05-02
Christi Himmelfahrt,2014-05-29,2014-05-30
Pfingstmontag,2014-06-09,2014-06-10
Tag der Deutschen Einheit,2014-10-03,2014-10-04
1. Weihnachtstag,2014-12-25,2014-12-26
2. Weihnachtstag,2014-12-26,2014-12-27
Neujahr,2015-01-01,2015-01-02
Karfreitag,2015-04-03,2015-04-04
Ostermontag,2015-04-06,2015-04-07
Tag der Arbeit,2015-05-01,2015-05-02
Christi Himmelfahrt,2015-05-14,2015-05-15
Pfingstmontag,2015-05-25,2015-05-26
Tag der Deutschen Einheit,2015-10-03,2015-10-04
1. Weihnachtstag,2015-12-25,2015-12-26
2. Weihnachtstag,2015-12-26,2015-12-27
Neujahr,2016-01-01,2016-01-02
Karfreitag,2016-03-25,2016-03-26
Ostermontag,2016-03-28,2016-03-29
Tag der Arbeit,2016-05-01,2016-05-02
Christi Himmelfahrt,2016-05-05,2016-05-06
Pfingstmontag,2016-05-16,2016-05-17
Tag der Deutschen Einheit,2016-10-03,2016-10-04
1. Weihnachtstag,2016-12-25,2016-12-26
2. Weihnachtstag,2016-12-26,2016-12-27
Neujahr,2017-01-01,2017-01-02
Karfreitag,2017-04-14,2017-04-15
Ostermontag,2017-04-17,2017-04-18
Tag der Arbeit,2017-05-01,2017-05-02
Christi Himmelfahrt,2017-05-25,2017-05-26
Pfingstmontag,2017-06-05,2017-06-06
Tag der Deutschen Einheit,2017-10-03,2017-10-04
Reformationstag,2017-10-31,2017-11-01
1. Weihnachtstag,2017-12-25,2017-12-26
2. Weihnachtstag,2017-12-26,2017-12-27
Neujahr,2018-01-01,2018-01-02
Karfreitag,2018-03-30,2018-03-31
Ostermontag,2018-04-02,2018-04-03
Tag der Arbeit,2018-05-01,2018-05-02
Christi Himmelfahrt,2018-05-10,2018-05-11
Pfingstmontag,2018-05-21,2018-05-22
Tag der Deutschen Einheit,2018-10-03,2018-10-04
Reformationstag,2018-10-31,2018-11-01
1. Weihnachtstag,2018-12-25,2018-12-26
2. Weihnachtstag,2018-12-26,2018-12-27
Neujahr,2019-01-01,2019-01-02
Karfreitag,2019-04-19,2019-04-20
Ostermontag,2019-04-22,2019-04-23
Tag der Arbeit,2019-05-01,2019-05-02
Christi Himmelfahrt,2019-05-30,2019-05-31
Pfingstmontag,2019-06-10,2019-06-11
Tag der Deutschen Einheit,2019-10-03,2019-10-04
Reformationstag,2019-10-31,2019-11-01
1. Weihnachtstag,2019-12-25,2019-12-26
2. Weihnachtstag,2019-12-26,2019-12-27
Neujahr,2020-01-01,2020-01-02
Karfreitag,2020-04-10,2020-04-11
Ostermontag,2020-04-13,2020-04-14
Tag der Arbeit,2020-05-01,2020-05-02
Christi Himmelfahrt,2020-05-21,2020-05-22
Pfingstmontag,2020-06-01,2020-06-02
Tag der Deutschen Einheit,2020-10-03,2020-10-04
Reformationstag,2020-10-31,2020-11-01
1. Weihnachtstag,2020-12-25,2020-12-26
2. Weihnachtstag,2020-12-26,2020-12-27
Neujahr,2021-01-01,2021-01-02
Karfreitag,2021-04-02,2021-04-03
Ostermontag,2021-04-05,2021-04-06
Tag der Arbeit,2021-05-01,2021-05-02
Christi Himmelfahrt,2021-05-13,2021-05-14
Pfingstmontag,2021-05-24,2021-05-25
Tag der Deutschen Einheit,2021-10-03,2021-10-04
Reformationstag,2021-10-31,2021-11-01
1. Weihnachtstag,2021-12-25,2021-12-26
2. Weihnachtstag,2021-12-26,2021-12-27
Neujahr,2022-01-01,2022-01-02
Karfreitag,2022-04-15,2022-04-16
Ostermontag,2022-04-18,2022-04-19
Tag der Arbeit,2022-05-01,2022-05-02
Christi Himmelfahrt,2022-05-26,2022-05-27
Pfingstmontag,2022-06-06,2022-06-07
Tag der Deutschen Einheit,2022-10-03,2022-10-04
Reformationstag,2022-10-31,2022-11-01
1. Weihnachtstag,2022-12-25,2022-12-26
2. Weihnachtstag,2022-12-26,2022-12-27
Neujahr,2023-01-01,2023-01-02
Karfreitag,2023-04-07,2023-04-08
Ostermontag,2023-04-10,2023-04-11
Tag der Arbeit,2023-05-01,2023-05-02
Christi Himmelfahrt,2023-05-18,2023-05-19
Pfingstmontag,2023-05-29,2023-05-30
Tag der Deutschen Einheit,2023-10-03,2023-10-04
Reformationstag,2023-10-31,2023-11-01
1. Weihnachtstag,2023-12-25,2023-12-26
2. Weihnachtstag,2023-12-26,2023-12-27
