id	name_en	name_de	polygon_simple
area_de_ni_10	Vierhöfen	Vierhöfen	POLYGON ((53.296461299102624 10.2492488, 53.2959970991026 10.2505047, 53.29840759910275 10.2531984, 53.299532899102836 10.254784700000002, 53.30014519910287 10.2528843, 53.298910699102784 10.2515954, 53.296461299102624 10.2492488))
area_de_ni_11	Winsen (Luhe)	Winsen (Luhe)	POLYGON ((53.330401099105046 10.299452800000001, 53.329293399104955 10.3067319, 53.33046689910503 10.3073376, 53.33151629910514 10.300873999999999, 53.330401099105046 10.299452800000001))
area_de_ni_18	Nordseeinsel Memmert	Nordseeinsel Memmert	POLYGON ((53.642483099134644 6.863767700000001, 53.62416809913254 6.8915927, 53.64376959913479 6.894141099999998, 53.65032329913556 6.9092816, 53.642483099134644 6.863767700000001))
area_de_ni_47	Dörverden	Dörverden	POLYGON ((52.76667839908418 9.3277031, 52.766471099084164 9.3277149, 52.76564129908415 9.3310509, 52.765845499084165 9.3312302, 52.76602019908417 9.3321084, 52.76652109908415 9.3313779, 52.76670909908416 9.329571299999998, 52.76676419908416 9.3285775, 52.76667839908418 9.3277031))
area_de_ni_48	Landkreis Verden	Landkreis Verden	POLYGON ((52.96747269908693 8.9037126, 52.88883049908522 8.9522137, 52.89780389908541 8.965569, 52.88870269908526 8.982003600000002, 52.92695049908596 9.0042037, 52.92313229908589 9.0607261, 52.90231229908547 9.0791577, 52.90409399908552 9.1097711, 52.896859999085386 9.1161922, 52.893971199085335 9.1607435, 52.90966989908562 9.1667768, 52.886593899085206 9.177061, 52.87400499908501 9.2110815, 52.85658339908477 9.1809007, 52.84775439908467 9.2205127, 52.84021039908459 9.2010665, 52.816210899084396 9.1924163, 52.821217199084415 9.2416439, 52.81129129908435 9.235572, 52.79986259908428 9.2563609, 52.80427939908429 9.271052000000001, 52.81499199908438 9.2700966, 52.81746779908438 9.293192, 52.80971169908435 9.3076559, 52.8012815990843 9.2969286, 52.77447969908418 9.3045527, 52.76725889908417 9.325913800000002, 52.7826321990842 9.340608400000002, 52.77326789908417 9.3367008, 52.77825019908417 9.3491951, 52.80113419908428 9.340305300000002, 52.802438099084284 9.3605811, 52.81644639908437 9.3303606, 52.826495099084475 9.3433524, 52.82138689908444 9.3676354, 52.83286969908452 9.3903215, 52.85037849908469 9.3754014, 52.87915119908509 9.4134209, 52.89819209908542 9.4130401, 52.91156269908566 9.451594000000004, 52.94897429908647 9.4441667, 52.95877819908671 9.4639361, 52.98934139908755 9.4575713, 53.002970799087976 9.437247, 52.982294899087336 9.373188100000002, 52.98717209908748 9.3368458, 53.00400829908799 9.3502137, 53.014774599088334 9.3403779, 53.00706609908808 9.3255523, 53.02787399908876 9.2915705, 53.042573199089276 9.2221947, 53.03573339908903 9.2046443, 53.047257499089454 9.188348900000001, 53.07182669909039 9.1787218, 53.08885669909107 9.1512313, 53.10306209909169 9.152537900000002, 53.10014849909156 9.1702302, 53.11625769909227 9.1819642, 53.12679749909277 9.1730275, 53.14741629909377 9.1936041, 53.16019179909441 9.187269, 53.16386929909459 9.165982200000002, 53.1696684990949 9.195288300000001, 53.184522899095704 9.1758868, 53.17134149909499 9.161517900000002, 53.167359799094775 9.1323094, 53.1441052990936 9.1091042, 53.152138299094005 9.066085800000002, 53.1336562990931 9.0575973, 53.13240539909304 9.0364346, 53.12596409909275 9.0368122, 53.13025349909292 8.9820491, 53.116188899092265 8.9472416, 53.10043079909159 8.9632442, 53.09656469909143 8.990731799999999, 53.085169099090926 8.9609864, 53.05998869908993 8.9637339, 53.04679589908943 8.9803461, 53.030606599088856 8.9457816, 53.01353379908829 8.935912, 53.01335249908829 8.9176498, 52.99077129908759 8.9325702, 52.983676299087385 8.9099931, 52.96747269908693 8.9037126))
area_de_ni_49	Nordenham	Nordenham	POLYGON ((53.57586259912723 8.4922951, 53.57573969912719 8.4923228, 53.5748113991271 8.4932472, 53.57472929912711 8.4934824, 53.5747116991271 8.493740800000001, 53.574765699127106 8.494019999999999, 53.57479089912711 8.4941055, 53.57490899912712 8.4943714, 53.57501379912713 8.4944725, 53.575104299127155 8.4945291, 53.57523999912714 8.494532600000001, 53.575338999127155 8.4944862, 53.57536689912716 8.4944565, 53.57617679912724 8.4935952, 53.57623089912726 8.493469700000002, 53.57627229912726 8.4932846, 53.57627979912727 8.4931104, 53.57626729912726 8.492923, 53.576203699127255 8.4926768, 53.57610799912726 8.4924687, 53.57601239912722 8.4923701, 53.575927899127244 8.4923183, 53.57586259912723 8.4922951))
area_de_ni_50	Landkreis Wesermarsch	Landkreis Wesermarsch	POLYGON ((53.341027499105856 8.1639845, 53.32050079910433 8.1706966, 53.321110199104375 8.190306799999998, 53.30324279910312 8.208830800000001, 53.30653159910333 8.2518651, 53.28473889910182 8.2777026, 53.261899199100306 8.2733467, 53.244721299099226 8.291837700000002, 53.23538159909862 8.2780794, 53.23866039909884 8.2957594, 53.1969588990964 8.315731900000001, 53.1791089990954 8.2929425, 53.15346689909408 8.3093451, 53.17189099909504 8.3832405, 53.12069519909246 8.4016979, 53.14082069909344 8.4619446, 53.1189962990924 8.504754099999998, 53.13004799909293 8.4958874, 53.11348109909216 8.5708959, 53.120354399092484 8.589235, 53.09899289909151 8.635505, 53.10889959909196 8.654229, 53.1677050990948 8.618807000000002, 53.18685279909581 8.5339491, 53.226461199098104 8.4815929, 53.35145309910662 8.5014239, 53.47513719911713 8.4926085, 53.49947849911944 8.5116692, 53.51616069912108 8.5527176, 53.52903229912235 8.556700200000002, 53.54999679912451 8.5174019, 53.55844899912539 8.5185246, 53.55094669912459 8.5026212, 53.55262029912477 8.4632779, 53.569669299126566 8.3985933, 53.617859699131834 8.3235897, 53.60934159913087 8.270924800000001, 53.578220099127485 8.2402616, 53.5204823991215 8.2256168, 53.522443399121705 8.3085308, 53.45864659911563 8.3139974, 53.40661029911107 8.2690747, 53.39959499911048 8.2341002, 53.41002779911134 8.1974059, 53.367791599107896 8.2036372, 53.341027499105856 8.1639845))
area_de_ni_53	Landkreis Wittmund	Landkreis Wittmund	POLYGON ((53.58387819912808 7.408092300000001, 53.55153049912467 7.420826500000001, 53.542258999123696 7.412534900000001, 53.53285759912274 7.4292072000000005, 53.547438899124245 7.4816825, 53.561195599125654 7.6504858, 53.535998399123045 7.6628430000000005, 53.52553309912199 7.644447399999999, 53.50251899911975 7.6780897, 53.46288789911602 7.677077700000001, 53.47241439911689 7.7366752, 53.46511219911623 7.7525627, 53.454374099115235 7.7316022, 53.44051199911397 7.7351021, 53.43592599911358 7.7556017, 53.44338719911424 7.780862700000001, 53.42644779911276 7.774164600000001, 53.42335649911249 7.787082800000001, 53.40764489911114 7.770020599999999, 53.40847519911123 7.813969700000001, 53.39902589911041 7.8042535, 53.36214319910745 7.836160199999999, 53.376000799108546 7.8713037, 53.39866639911039 7.8585592, 53.44386449911427 7.9668277, 53.461031399115846 7.9753375, 53.472448199116876 7.9426743, 53.48272109911784 7.9462037, 53.481443199117734 7.9288074, 53.51126979912059 7.937239900000002, 53.516626099121126 7.887308700000001, 53.500936899119594 7.8215237, 53.55148509912465 7.8249013, 53.57917719912757 7.857181800000002, 53.59187569912896 7.844374200000001, 53.61259629913123 7.8602334, 53.6315860991334 7.820566499999999, 53.64614249913505 7.8417871, 53.71123319914296 7.8101982, 53.700362999141596 7.7377417, 53.7027527991419 7.687887999999999, 53.67536789913854 7.5504573, 53.65007949913553 7.4884336000000005, 53.623050199132415 7.5084216, 53.627038999132886 7.4711224000000005, 53.619580299132046 7.4231721, 53.61146809913111 7.430419800000001, 53.58387819912808 7.408092300000001))
area_de_ni_58	Oldenburg	Oldenburg	POLYGON ((53.108092599091904 8.1295153, 53.11409909909221 8.2010012, 53.091992599091206 8.1942514, 53.08312369909084 8.2238838, 53.09713819909145 8.280139, 53.13043749909297 8.2879406, 53.15277999909403 8.3122117, 53.1791089990954 8.2929425, 53.18899289909594 8.3038787, 53.20476169909683 8.20339, 53.17406009909514 8.1592615, 53.169507799094895 8.1682559, 53.149746999093885 8.1451786, 53.108092599091904 8.1295153))
area_de_ni_59	Osnabrück	Osnabrück	POLYGON ((52.292317999096966 7.9297121000000015, 52.27440709909795 7.9637814, 52.25148469909926 7.9574935, 52.2421997990998 7.976641600000001, 52.22415989910091 8.0355938, 52.233719899100315 8.0420617, 52.23960529909996 8.0876668, 52.21754879910132 8.107009000000001, 52.23406999910031 8.1145607, 52.233441099100325 8.133649800000002, 52.26072399909873 8.1217155, 52.26512159909846 8.1569941, 52.28486109909736 8.180660200000002, 52.29993459909654 8.1508638, 52.29054659909704 8.119397700000002, 52.30744669909613 8.0973528, 52.32045419909546 8.0979278, 52.31921649909554 8.020271, 52.3374347990946 8.0107054, 52.32361689909532 7.965834400000001, 52.30342649909635 7.9892574, 52.30542129909625 7.948818600000001, 52.292317999096966 7.9297121000000015))
